currency,horizon,model,config,news,prompt,rmse,mae,mape,da,n_windows
USDEUR,5,mistral-7b,news_only,True,tsfl_zero,0.01138113759221369,0.009041178476810454,1.0629968696235306,48.64864864864865,10
USDEUR,5,mistral-7b,prompt_only,False,tsfl_few,0.010897728983883817,0.009108044619917866,1.0731283452756386,48.64864864864865,10
USDEUR,5,mistral-7b,full_model,True,tsfl_few,0.010938306229109481,0.009238974617838867,1.0875031936704975,59.45945945945946,10
USDEUR,10,mistral-7b,baseline_llm,False,tsfl_zero,0.013848840442710368,0.011155468611121178,1.3114520018712243,54.41176470588235,10
USDEUR,10,mistral-7b,news_only,True,tsfl_zero,0.013562386115250192,0.011214429595053197,1.3187683712608362,58.82352941176471,10
USDEUR,10,mistral-7b,prompt_only,False,tsfl_few,0.012663901615560077,0.010686995182156565,1.2559530137088593,44.11764705882353,10
USDEUR,10,mistral-7b,full_model,True,tsfl_few,0.013588528215940456,0.011150976778984068,1.3116822114541256,39.705882352941174,10
USDSGD,1,mistral-7b,baseline_llm,False,tsfl_zero,0.008152322866590941,0.006792296636104677,0.5341673446521258,55.55555555555556,10
USDSGD,1,mistral-7b,news_only,True,tsfl_zero,0.011114403115958994,0.009474529546499322,0.7452462956052038,66.66666666666666,10
USDSGD,1,mistral-7b,prompt_only,False,tsfl_few,0.010755922282952694,0.009519243292808576,0.746571056185367,44.44444444444444,10
USDSGD,1,mistral-7b,full_model,True,tsfl_few,0.009387500621217617,0.007224694545269039,0.5670891768437164,44.44444444444444,10
USDSGD,5,mistral-7b,baseline_llm,False,tsfl_zero,0.01257441963264457,0.01059169588279734,0.82907515214252,45.94594594594595,10
USDSGD,5,mistral-7b,news_only,True,tsfl_zero,0.011665027971211323,0.009203032024621995,0.7228040610691431,48.64864864864865,10
USDSGD,5,mistral-7b,prompt_only,False,tsfl_few,0.011298966899315017,0.009088135814905205,0.7127374723106428,54.054054054054056,10
USDSGD,5,mistral-7b,full_model,True,tsfl_few,0.010950325822643148,0.00859875071907052,0.6744413720799519,45.94594594594595,10
USDSGD,10,mistral-7b,baseline_llm,False,tsfl_zero,0.014446963833937817,0.01234473875916011,0.9671009864868281,60.29411764705882,10
USDSGD,10,mistral-7b,news_only,True,tsfl_zero,0.014889727253545282,0.01161331910109527,0.9114019104392566,47.05882352941176,10
USDSGD,10,mistral-7b,prompt_only,False,tsfl_few,0.011943403182529518,0.010023959905147605,0.7852152882396699,50.0,10
USDSGD,10,mistral-7b,full_model,True,tsfl_few,0.012187040594851284,0.00974503333902363,0.7646667027686893,52.94117647058824,10
USDTWD,1,mistral-7b,baseline_llm,False,tsfl_zero,0.13609411573776178,0.11874421911239814,0.3773959143547892,88.88888888888889,10
USDTWD,1,mistral-7b,news_only,True,tsfl_zero,0.12595083577352503,0.10310602945327929,0.32797475467902026,66.66666666666666,10
USDTWD,1,mistral-7b,prompt_only,False,tsfl_few,0.1396853147191038,0.10310677812576471,0.3281378864032767,77.77777777777779,10
USDTWD,1,mistral-7b,full_model,True,tsfl_few,0.2062138855911004,0.16289306316375624,0.5180428970746531,55.55555555555556,10
USDTWD,5,mistral-7b,baseline_llm,False,tsfl_zero,0.282433134085881,0.22840448464584312,0.7241894726499164,56.75675675675676,10
USDTWD,5,mistral-7b,news_only,True,tsfl_zero,0.2168102672718103,0.1810408536987306,0.5744287859276884,67.56756756756756,10
USDTWD,5,mistral-7b,prompt_only,False,tsfl_few,0.2589038758308805,0.20655052415084854,0.6556039723310082,45.94594594594595,10
USDTWD,5,mistral-7b,full_model,True,tsfl_few,0.2412630354713443,0.1923828458633426,0.6102762630643891,54.054054054054056,10
USDTWD,10,mistral-7b,baseline_llm,False,tsfl_zero,0.36670612328504687,0.29629050166130055,0.9389522603870807,55.88235294117647,10
USDTWD,10,mistral-7b,news_only,True,tsfl_zero,0.27945796520879307,0.21841991659355195,0.6928779741022518,50.0,10
